period,interest,riskGroup,gyraMaisFee,bankFee,partnerFee,type
14,0.0599,0,0.0405,0.0095,0.02,"17503933000102,"
15,0.0599,0,0.0405,0.0095,0.02,"17503933000102,"
16,0.0599,0,0.0405,0.0095,0.02,"17503933000102,"
17,0.0599,0,0.0405,0.0095,0.02,"17503933000102,"
18,0.0599,0,0.0405,0.0095,0.02,"17503933000102,"
19,0.0599,0,0.0405,0.0095,0.02,"17503933000102,"
20,0.0599,0,0.0405,0.0095,0.02,"17503933000102,"
21,0.0599,0,0.0405,0.0095,0.02,"17503933000102,"
22,0.0599,0,0.0405,0.0095,0.02,"17503933000102,"
23,0.0599,0,0.0405,0.0095,0.02,"17503933000102,"
24,0.0599,0,0.0405,0.0095,0.02,"17503933000102,"
1,0.0449,1,0.0405,0.0095,0.02,"17503933000102,"
2,0.0449,1,0.0405,0.0095,0.02,"17503933000102,"
3,0.0449,1,0.0405,0.0095,0.02,"17503933000102,"
4,0.0449,1,0.0405,0.0095,0.02,"17503933000102,"
5,0.0449,1,0.0405,0.0095,0.02,"17503933000102,"
6,0.0449,1,0.0405,0.0095,0.02,"17503933000102,"
7,0.0449,1,0.0405,0.0095,0.02,"17503933000102,"
8,0.0449,1,0.0405,0.0095,0.02,"17503933000102,"
9,0.0449,1,0.0405,0.0095,0.02,"17503933000102,"
10,0.0449,1,0.0405,0.0095,0.02,"17503933000102,"
11,0.0449,1,0.0405,0.0095,0.02,"17503933000102,"
12,0.0449,1,0.0405,0.0095,0.02,"17503933000102,"
13,0.0449,1,0.0405,0.0095,0.02,"17503933000102,"
14,0.0449,1,0.0405,0.0095,0.02,"17503933000102,"
15,0.0449,1,0.0405,0.0095,0.02,"17503933000102,"
16,0.0449,1,0.0405,0.0095,0.02,"17503933000102,"
17,0.0449,1,0.0405,0.0095,0.02,"17503933000102,"
18,0.0499,1,0.0405,0.0095,0.02,"17503933000102,"
19,0.0499,1,0.0405,0.0095,0.02,"17503933000102,"
20,0.0499,1,0.0405,0.0095,0.02,"17503933000102,"
21,0.0499,1,0.0405,0.0095,0.02,"17503933000102,"
22,0.0499,1,0.0405,0.0095,0.02,"17503933000102,"
23,0.0499,1,0.0405,0.0095,0.02,"17503933000102,"
24,0.0499,1,0.0405,0.0095,0.02,"17503933000102,"
1,0.0349,2,0.0405,0.0095,0.02,"17503933000102,"
2,0.0349,2,0.0405,0.0095,0.02,"17503933000102,"
3,0.0349,2,0.0405,0.0095,0.02,"17503933000102,"
4,0.0349,2,0.0405,0.0095,0.02,"17503933000102,"
5,0.0349,2,0.0405,0.0095,0.02,"17503933000102,"
6,0.0349,2,0.0405,0.0095,0.02,"17503933000102,"
7,0.0349,2,0.0405,0.0095,0.02,"17503933000102,"
8,0.0349,2,0.0405,0.0095,0.02,"17503933000102,"
9,0.0349,2,0.0405,0.0095,0.02,"17503933000102,"
10,0.0349,2,0.0405,0.0095,0.02,"17503933000102,"
11,0.0349,2,0.0405,0.0095,0.02,"17503933000102,"
12,0.0349,2,0.0405,0.0095,0.02,"17503933000102,"
13,0.0399,2,0.0405,0.0095,0.02,"17503933000102,"
14,0.0399,2,0.0405,0.0095,0.02,"17503933000102,"
15,0.0399,2,0.0405,0.0095,0.02,"17503933000102,"
16,0.0399,2,0.0405,0.0095,0.02,"17503933000102,"
17,0.0399,2,0.0405,0.0095,0.02,"17503933000102,"
18,0.0399,2,0.0405,0.0095,0.02,"17503933000102,"
19,0.0399,2,0.0405,0.0095,0.02,"17503933000102,"
20,0.0399,2,0.0405,0.0095,0.02,"17503933000102,"
21,0.0399,2,0.0405,0.0095,0.02,"17503933000102,"
22,0.0399,2,0.0405,0.0095,0.02,"17503933000102,"
23,0.0399,2,0.0405,0.0095,0.02,"17503933000102,"
24,0.0399,2,0.0405,0.0095,0.02,"17503933000102,"
1,0.0299,3,0.0405,0.0095,0.02,"17503933000102,"
2,0.0299,3,0.0405,0.0095,0.02,"17503933000102,"
3,0.0299,3,0.0405,0.0095,0.02,"17503933000102,"
4,0.0299,3,0.0405,0.0095,0.02,"17503933000102,"
5,0.0299,3,0.0405,0.0095,0.02,"17503933000102,"
6,0.0299,3,0.0405,0.0095,0.02,"17503933000102,"
7,0.0299,3,0.0405,0.0095,0.02,"17503933000102,"
8,0.0299,3,0.0405,0.0095,0.02,"17503933000102,"
9,0.0299,3,0.0405,0.0095,0.02,"17503933000102,"
10,0.0299,3,0.0405,0.0095,0.02,"17503933000102,"
11,0.0299,3,0.0405,0.0095,0.02,"17503933000102,"
12,0.0299,3,0.0405,0.0095,0.02,"17503933000102,"
13,0.0299,3,0.0405,0.0095,0.02,"17503933000102,"
14,0.0299,3,0.0405,0.0095,0.02,"17503933000102,"
15,0.0299,3,0.0405,0.0095,0.02,"17503933000102,"
16,0.0299,3,0.0405,0.0095,0.02,"17503933000102,"
17,0.0299,3,0.0405,0.0095,0.02,"17503933000102,"
18,0.0299,3,0.0405,0.0095,0.02,"17503933000102,"
19,0.0299,3,0.0405,0.0095,0.02,"17503933000102,"
20,0.0299,3,0.0405,0.0095,0.02,"17503933000102,"
21,0.0299,3,0.0405,0.0095,0.02,"17503933000102,"
22,0.0299,3,0.0405,0.0095,0.02,"17503933000102,"
23,0.0299,3,0.0405,0.0095,0.02,"17503933000102,"
24,0.0299,3,0.0405,0.0095,0.02,"17503933000102,"
1,0.0249,4,0.0405,0.0095,0.02,"17503933000102,"
2,0.0249,4,0.0405,0.0095,0.02,"17503933000102,"
3,0.0249,4,0.0405,0.0095,0.02,"17503933000102,"
4,0.0249,4,0.0405,0.0095,0.02,"17503933000102,"
5,0.0249,4,0.0405,0.0095,0.02,"17503933000102,"
6,0.0249,4,0.0405,0.0095,0.02,"17503933000102,"
7,0.0249,4,0.0405,0.0095,0.02,"17503933000102,"
8,0.0249,4,0.0405,0.0095,0.02,"17503933000102,"
9,0.0249,4,0.0405,0.0095,0.02,"17503933000102,"
10,0.0249,4,0.0405,0.0095,0.02,"17503933000102,"
11,0.0249,4,0.0405,0.0095,0.02,"17503933000102,"
12,0.0249,4,0.0405,0.0095,0.02,"17503933000102,"
13,0.0249,4,0.0405,0.0095,0.02,"17503933000102,"
14,0.0249,4,0.0405,0.0095,0.02,"17503933000102,"
15,0.0249,4,0.0405,0.0095,0.02,"17503933000102,"
16,0.0249,4,0.0405,0.0095,0.02,"17503933000102,"
17,0.0249,4,0.0405,0.0095,0.02,"17503933000102,"
18,0.0249,4,0.0405,0.0095,0.02,"17503933000102,"
19,0.0249,4,0.0405,0.0095,0.02,"17503933000102,"
20,0.0249,4,0.0405,0.0095,0.02,"17503933000102,"
21,0.0249,4,0.0405,0.0095,0.02,"17503933000102,"
22,0.0249,4,0.0405,0.0095,0.02,"17503933000102,"
23,0.0249,4,0.0405,0.0095,0.02,"17503933000102,"
24,0.0249,4,0.0405,0.0095,0.02,"17503933000102,"
1,0.0199,5,0.0405,0.0095,0.02,"17503933000102,"
2,0.0199,5,0.0405,0.0095,0.02,"17503933000102,"
3,0.0199,5,0.0405,0.0095,0.02,"17503933000102,"
4,0.0199,5,0.0405,0.0095,0.02,"17503933000102,"
5,0.0199,5,0.0405,0.0095,0.02,"17503933000102,"
6,0.0199,5,0.0405,0.0095,0.02,"17503933000102,"
7,0.0199,5,0.0405,0.0095,0.02,"17503933000102,"
8,0.0199,5,0.0405,0.0095,0.02,"17503933000102,"
9,0.0199,5,0.0405,0.0095,0.02,"17503933000102,"
10,0.0199,5,0.0405,0.0095,0.02,"17503933000102,"
11,0.0199,5,0.0405,0.0095,0.02,"17503933000102,"
12,0.0199,5,0.0405,0.0095,0.02,"17503933000102,"
13,0.0249,5,0.0405,0.0095,0.02,"17503933000102,"
14,0.0249,5,0.0405,0.0095,0.02,"17503933000102,"
15,0.0249,5,0.0405,0.0095,0.02,"17503933000102,"
16,0.0249,5,0.0405,0.0095,0.02,"17503933000102,"
17,0.0249,5,0.0405,0.0095,0.02,"17503933000102,"
18,0.0249,5,0.0405,0.0095,0.02,"17503933000102,"
19,0.0249,5,0.0405,0.0095,0.02,"17503933000102,"
20,0.0249,5,0.0405,0.0095,0.02,"17503933000102,"
21,0.0249,5,0.0405,0.0095,0.02,"17503933000102,"
22,0.0249,5,0.0405,0.0095,0.02,"17503933000102,"
23,0.0249,5,0.0405,0.0095,0.02,"17503933000102,"
24,0.0249,5,0.0405,0.0095,0.02,"17503933000102,"
1,0.0549,0,0.0405,0.0095,0.01,"18696927000173,"
2,0.0549,0,0.0405,0.0095,0.01,"18696927000173,"
3,0.0549,0,0.0405,0.0095,0.01,"18696927000173,"
4,0.0549,0,0.0405,0.0095,0.01,"18696927000173,"
